inn,ogrn,region,region_taxcode,okved,okved_section,creation_date,dissolution_date,age,company_label,sample_bucket
1326253200,1191326001680,moscow city,7700,47.11,G,2019-03-07,,5.0,Компания ИНН 1326253200,negative_profit
2330033470,1062330008685,moscow city,7700,10.72,C,2006-09-28,,18.0,Компания ИНН 2330033470,negative_profit
5001124939,1195081013610,moscow reg.,5000,46.74,G,2019-03-06,,5.0,Компания ИНН 5001124939,revenue_drop_gt_30
5010060470,1225000120124,moscow reg.,5000,62.01,J,2022-10-24,,2.0,Компания ИНН 5010060470,negative_profit
5018124768,1085018000979,moscow reg.,5000,25.62,C,2008-02-04,,16.0,Компания ИНН 5018124768,revenue_drop_gt_30
5019022991,1105019001174,moscow reg.,5000,46.90,G,2010-11-03,,14.0,Компания ИНН 5019022991,normal
5020087440,1205000052498,moscow reg.,5000,43.29,F,2020-07-03,,4.0,Компания ИНН 5020087440,data_quality_issue
5027217916,1145027017970,moscow reg.,5000,10.13,C,2014-10-10,,10.0,Компания ИНН 5027217916,normal
5027227858,1155027004736,moscow reg.,5000,73.11,M,2015-05-15,,9.0,Компания ИНН 5027227858,revenue_drop_gt_30
5030060253,1075030005159,moscow city,7700,41.20,F,2007-11-29,,17.0,Компания ИНН 5030060253,negative_profit
5038175190,1235000032871,moscow reg.,5000,73.11,M,2023-03-20,2024-09-04,1.0,Компания ИНН 5038175190,data_quality_issue
5040135250,1155040004900,moscow city,7700,41.20,F,2015-07-24,,9.0,Компания ИНН 5040135250,normal
5040164597,1195027023850,moscow reg.,5000,46.62,G,2019-11-06,,5.0,Компания ИНН 5040164597,assets_drop_gt_25
5043075320,1225000028527,moscow reg.,5000,16.29.15,C,2022-03-28,,2.0,Компания ИНН 5043075320,revenue_drop_gt_30
5044124186,1225000007165,moscow reg.,5000,46.73,G,2022-01-31,,2.0,Компания ИНН 5044124186,data_quality_issue
5044141103,1235000138515,moscow reg.,5000,46.75,G,2023-11-02,,1.0,Компания ИНН 5044141103,normal
5050119770,1155050004361,moscow reg.,5000,27.12,C,2015-07-28,,9.0,Компания ИНН 5050119770,normal
5050125607,1165050052738,moscow reg.,5000,43.39,F,2016-06-01,,8.0,Компания ИНН 5050125607,data_quality_issue
5075017709,1045011650089,moscow reg.,5000,25.93,C,2004-01-12,,20.0,Компания ИНН 5075017709,assets_drop_gt_25
5505220039,1145543007147,sankt-petersburg,7800,46.19,G,2014-02-18,,10.0,Компания ИНН 5505220039,revenue_drop_gt_30
7701414933,5147746369150,moscow city,7700,69.10,M,2014-11-18,,10.0,Компания ИНН 7701414933,negative_profit
7701726555,5077746878920,moscow city,7700,41.20,F,2007-06-05,,17.0,Компания ИНН 7701726555,assets_drop_gt_25
7702751522,1117746032920,moscow city,7700,47.91,G,2011-01-24,,13.0,Компания ИНН 7702751522,revenue_drop_gt_30
7704187397,1027739394209,moscow city,7700,72.19,M,1998-06-17,,26.0,Компания ИНН 7704187397,revenue_drop_gt_30
7704209629,1037739299190,moscow city,7700,72.19,M,2003-01-29,,21.0,Компания ИНН 7704209629,normal
7704516926,1047796236267,moscow city,7700,18.12,C,2004-04-09,,20.0,Компания ИНН 7704516926,normal
7705100222,1027700157000,moscow city,7700,46.49,G,1996-03-14,,28.0,Компания ИНН 7705100222,assets_drop_gt_25
7706659743,5077746859031,moscow city,7700,46.72,G,2007-06-01,,17.0,Компания ИНН 7706659743,assets_drop_gt_25
7709693372,5067746032360,moscow city,7700,14.12,C,2006-08-09,,18.0,Компания ИНН 7709693372,revenue_drop_gt_30
7709956279,1147746680124,moscow city,7700,41.20,F,2014-06-16,,10.0,Компания ИНН 7709956279,negative_profit
7713474310,1207700063647,moscow city,7700,73.11,M,2020-02-14,,4.0,Компания ИНН 7713474310,negative_profit
7717288988,1157746448089,moscow city,7700,46.69,G,2015-05-18,,9.0,Компания ИНН 7717288988,normal
7718084899,1027739082030,moscow city,7700,41.20,F,1994-05-23,,30.0,Компания ИНН 7718084899,revenue_drop_gt_30
7718618678,1067761323080,moscow city,7700,47.11,G,2006-12-20,,18.0,Компания ИНН 7718618678,revenue_drop_gt_30
7720894611,1237700257673,moscow city,7700,43.29,F,2023-04-04,2024-09-11,1.0,Компания ИНН 7720894611,data_quality_issue
7722479233,1197746560285,moscow city,7700,41.20,F,2019-09-16,,5.0,Компания ИНН 7722479233,negative_profit
7723462539,1167746717258,moscow city,7700,46.73,G,2016-08-01,,8.0,Компания ИНН 7723462539,revenue_drop_gt_30
7723764177,1107746544344,moscow city,7700,74.90.30,M,2010-07-08,,14.0,Компания ИНН 7723764177,data_quality_issue
7724333455,1157746842880,moscow city,7700,41.20,F,2015-09-14,,9.0,Компания ИНН 7724333455,normal
7724439211,1187746438978,moscow city,7700,47.11,G,2018-04-25,,6.0,Компания ИНН 7724439211,negative_profit
7725293692,1157746984460,moscow city,7700,46.73,G,2015-10-27,,9.0,Компания ИНН 7725293692,assets_drop_gt_25
7725380874,1177746618390,moscow city,7700,46.69.90,G,2017-06-22,,7.0,Компания ИНН 7725380874,negative_profit
7725628846,1087746201641,moscow reg.,5000,46.10,G,2008-02-11,,16.0,Компания ИНН 7725628846,normal
7726480769,1217700376926,moscow city,7700,46.31,G,2021-08-12,,3.0,Компания ИНН 7726480769,revenue_drop_gt_30
7727481363,1217700641355,moscow city,7700,62.01,J,2021-12-27,,3.0,Компания ИНН 7727481363,assets_drop_gt_25
7727769680,5117746067126,moscow city,7700,43.22,F,2011-12-28,,13.0,Компания ИНН 7727769680,revenue_drop_gt_30
7728479180,1197746418638,moscow city,7700,45.31,G,2019-07-01,,5.0,Компания ИНН 7728479180,normal
7728667829,1087746980859,moscow city,7700,70.10.10,M,2008-08-14,,16.0,Компания ИНН 7728667829,assets_drop_gt_25
7730309531,1237700547105,moscow city,7700,43.39,F,2023-08-16,,1.0,Компания ИНН 7730309531,data_quality_issue
7731259900,1037700223461,moscow city,7700,69.10,M,2002-06-28,,22.0,Компания ИНН 7731259900,assets_drop_gt_25
7733020804,1027739264398,moscow city,7700,47.19,G,1992-05-29,2024-11-25,32.0,Компания ИНН 7733020804,data_quality_issue
7733367041,1217700138700,moscow reg.,5000,45.11,G,2021-03-26,,3.0,Компания ИНН 7733367041,negative_profit
7733386608,1227700371579,moscow city,7700,46.74,G,2022-06-24,2024-09-04,2.0,Компания ИНН 7733386608,data_quality_issue
7733906310,1147748010618,moscow city,7700,46.69,G,2014-12-11,,10.0,Компания ИНН 7733906310,assets_drop_gt_25
7734436724,1207700313072,moscow city,7700,46.43.10,G,2020-08-27,,4.0,Компания ИНН 7734436724,normal
