inn,ogrn,year,region,region_taxcode,okved,okved_section,creation_date,dissolution_date,age,eligible,filed,imputed,outlier,revenue,net_profit,assets,equity,longterm_liab,shortterm_liab,payables,cash
1326253200,1191326001680,2023,moscow city,7700,47.11,G,2019-03-07,,4.0,1.0,1.0,0.0,0.0,5831.0,35.0,142811.0,21031.0,,121780.0,54052.0,36.0
1326253200,1191326001680,2024,moscow city,7700,47.11,G,2019-03-07,,5.0,1.0,1.0,0.0,0.0,0.0,-8809.0,120759.0,12222.0,,108537.0,12293.0,100.0
2330033470,1062330008685,2022,moscow city,7700,10.72,C,2006-09-28,,16.0,1.0,0.0,1.0,0.0,1250.0,-11507.0,51589.0,-9840.0,,61429.0,,
2330033470,1062330008685,2023,moscow city,7700,10.72,C,2006-09-28,,17.0,1.0,1.0,0.0,0.0,1220.0,-5002.0,45334.0,-4992.0,,50326.0,0.0,0.0
2330033470,1062330008685,2024,moscow city,7700,10.72,C,2006-09-28,,18.0,1.0,1.0,0.0,0.0,1300.0,-2525.0,31090.0,-3230.0,,34320.0,,368.0
5001124939,1195081013610,2022,moscow reg.,5000,46.74,G,2019-03-06,,3.0,1.0,1.0,0.0,0.0,15359.0,106.0,3782.0,113.0,,3669.0,3369.0,16.0
5001124939,1195081013610,2023,moscow reg.,5000,46.74,G,2019-03-06,,4.0,1.0,1.0,0.0,0.0,15438.0,227.0,10597.0,241.0,,10355.0,10355.0,68.0
5001124939,1195081013610,2024,moscow reg.,5000,46.74,G,2019-03-06,,5.0,1.0,1.0,0.0,0.0,7539.0,139.0,11087.0,304.0,,10783.0,10653.0,7.0
5010060470,1225000120124,2022,moscow reg.,5000,62.01,J,2022-10-24,,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,,,,,
5010060470,1225000120124,2023,moscow reg.,5000,62.01,J,2022-10-24,,1.0,1.0,1.0,0.0,0.0,,-511.0,229.0,205.0,,24.0,24.0,183.0
5010060470,1225000120124,2024,moscow reg.,5000,62.01,J,2022-10-24,,2.0,1.0,1.0,0.0,0.0,,-178.0,58.0,27.0,,31.0,31.0,12.0
5018124768,1085018000979,2022,moscow reg.,5000,25.62,C,2008-02-04,,14.0,1.0,1.0,0.0,0.0,30412.0,20537.0,21707.0,21548.0,,159.0,159.0,6102.0
5018124768,1085018000979,2023,moscow reg.,5000,25.62,C,2008-02-04,,15.0,1.0,1.0,0.0,0.0,10282.0,2784.0,19568.0,18096.0,,1472.0,1472.0,3945.0
5018124768,1085018000979,2024,moscow reg.,5000,25.62,C,2008-02-04,,16.0,1.0,1.0,0.0,0.0,5373.0,1270.0,6596.0,6542.0,,54.0,54.0,1391.0
5019022991,1105019001174,2022,moscow reg.,5000,46.90,G,2010-11-03,,12.0,1.0,1.0,0.0,0.0,257485.0,2400.0,231393.0,6450.0,34804.0,190139.0,187688.0,19841.0
5019022991,1105019001174,2023,moscow reg.,5000,46.90,G,2010-11-03,,13.0,1.0,1.0,0.0,0.0,209863.0,1409.0,243022.0,7859.0,46954.0,188209.0,185758.0,2957.0
5019022991,1105019001174,2024,moscow reg.,5000,46.90,G,2010-11-03,,14.0,1.0,1.0,0.0,0.0,245176.0,3797.0,312101.0,11656.0,102625.0,197820.0,195369.0,3727.0
5020087440,1205000052498,2022,moscow reg.,5000,43.29,F,2020-07-03,,2.0,1.0,1.0,0.0,0.0,0.0,0.0,46.0,46.0,,0.0,0.0,0.0
